region,vaccine,year,coverage
Global,BCG,2000,80
Global,DTP1,2000,82
Global,DTP3,2000,72
Global,HEPB3,2000,29
Global,HEPBB,2000,5
Global,HIB3,2000,13
Global,MCV1,2000,71
Global,MCV2,2000,17
Global,POL3,2000,73
Global,RCV1,2000,20
Global,YFV,2000,11
Global,BCG,2001,80
Global,DTP1,2001,83
Global,DTP3,2001,72
Global,HEPB3,2001,31
Global,HEPBB,2001,6
Global,HIB3,2001,14
Global,MCV1,2001,72
Global,MCV2,2001,19
Global,POL3,2001,73
Global,RCV1,2001,21
Global,YFV,2001,12
Global,BCG,2002,80
Global,DTP1,2002,83
Global,DTP3,2002,72
Global,HEPB3,2002,37
Global,HEPBB,2002,7
Global,HIB3,2002,16
Global,MCV1,2002,72
Global,MCV2,2002,20
Global,POL3,2002,74
Global,RCV1,2002,21
Global,YFV,2002,12
Global,BCG,2003,81
Global,DTP1,2003,84
Global,DTP3,2003,74
Global,HEPB3,2003,43
Global,HEPBB,2003,9
Global,HIB3,2003,17
Global,MCV1,2003,73
Global,MCV2,2003,20
Global,POL3,2003,75
Global,RCV1,2003,22
Global,YFV,2003,16
Global,BCG,2004,82
Global,DTP1,2004,85
Global,DTP3,2004,76
Global,HEPB3,2004,48
Global,HEPBB,2004,20
Global,HIB3,2004,19
Global,MCV1,2004,75
Global,MCV2,2004,22
Global,POL3,2004,75
Global,RCV1,2004,23
Global,YFV,2004,25
Global,BCG,2005,84
Global,DTP1,2005,86
Global,DTP3,2005,77
Global,HEPB3,2005,54
Global,HEPBB,2005,22
Global,HIB3,2005,20
Global,MCV1,2005,77
Global,MCV2,2005,32
Global,POL3,2005,78
Global,RCV1,2005,23
Global,YFV,2005,31
Global,BCG,2006,86
Global,DTP1,2006,87
Global,DTP3,2006,78
Global,HEPB3,2006,58
Global,HEPBB,2006,22
Global,HIB3,2006,21
Global,MCV1,2006,78
Global,MCV2,2006,34
Global,POL3,2006,79
Global,RCV1,2006,25
Global,ROTAC,2006,1
Global,YFV,2006,36
Global,BCG,2007,87
Global,DTP1,2007,87
Global,DTP3,2007,78
Global,HEPB3,2007,63
Global,HEPBB,2007,23
Global,HIB3,2007,24
Global,MCV1,2007,79
Global,MCV2,2007,35
Global,POL3,2007,80
Global,RCV1,2007,25
Global,ROTAC,2007,2
Global,YFV,2007,39
Global,BCG,2008,88
Global,DTP1,2008,88
Global,DTP3,2008,81
Global,HEPB3,2008,69
Global,HEPBB,2008,26
Global,HIB3,2008,27
Global,MCV1,2008,81
Global,MCV2,2008,37
Global,PCV3,2008,4
Global,POL3,2008,82
Global,RCV1,2008,25
Global,ROTAC,2008,3
Global,YFV,2008,38
Global,BCG,2009,89
Global,DTP1,2009,89
Global,DTP3,2009,83
Global,HEPB3,2009,73
Global,HEPBB,2009,27
Global,HIB3,2009,38
Global,MCV1,2009,83
Global,MCV2,2009,40
Global,PCV3,2009,6
Global,POL3,2009,83
Global,RCV1,2009,25
Global,ROTAC,2009,6
Global,YFV,2009,41
Global,BCG,2010,89
Global,DTP1,2010,89
Global,DTP3,2010,83
Global,HEPB3,2010,73
Global,HEPBB,2010,27
Global,HIB3,2010,40
Global,MCV1,2010,84
Global,MCV2,2010,41
Global,PCV3,2010,10
Global,POL3,2010,83
Global,RCV1,2010,34
Global,ROTAC,2010,8
Global,YFV,2010,38
Global,BCG,2011,89
